class_id,class_name,accuracy,correct,total
0,air hockey,1.0000,5,5
1,ampute football,1.0000,5,5
3,arm wrestling,1.0000,5,5
5,balance beam,1.0000,5,5
8,basketball,1.0000,5,5
10,bike polo,1.0000,5,5
11,billiards,1.0000,5,5
15,boxing,1.0000,5,5
18,canoe slamon,1.0000,5,5
20,chuckwagon racing,1.0000,5,5
23,curling,1.0000,5,5
26,field hockey,1.0000,5,5
27,figure skating men,1.0000,5,5
29,figure skating women,1.0000,5,5
32,formula 1 racing,1.0000,5,5
34,gaga,1.0000,5,5
37,hammer throw,1.0000,5,5
39,harness racing,1.0000,5,5
40,high jump,1.0000,5,5
41,hockey,1.0000,5,5
45,hurdles,1.0000,5,5
47,ice climbing,1.0000,5,5
48,ice yachting,1.0000,5,5
50,javelin,1.0000,5,5
51,jousting,1.0000,5,5
53,lacrosse,1.0000,5,5
54,log rolling,1.0000,5,5
55,luge,1.0000,5,5
56,motorcycle racing,1.0000,5,5
57,mushing,1.0000,5,5
58,nascar racing,1.0000,5,5
59,olympic wrestling,1.0000,5,5
60,parallel bar,1.0000,5,5
64,polo,1.0000,5,5
65,pommel horse,1.0000,5,5
66,rings,1.0000,5,5
67,rock climbing,1.0000,5,5
68,roller derby,1.0000,5,5
71,rugby,1.0000,5,5
72,sailboat racing,1.0000,5,5
74,shuffleboard,1.0000,5,5
78,skydiving,1.0000,5,5
80,snowmobile racing,1.0000,5,5
81,speed skating,1.0000,5,5
84,surfing,1.0000,5,5
88,track bicycle,1.0000,5,5
92,uneven bars,1.0000,5,5
95,water polo,1.0000,5,5
96,weightlifting,1.0000,5,5
97,wheelchair basketball,1.0000,5,5
2,archery,0.8000,4,5
4,axe throwing,0.8000,4,5
6,barell racing,0.8000,4,5
13,bobsled,0.8000,4,5
16,bull riding,0.8000,4,5
21,cricket,0.8000,4,5
22,croquet,0.8000,4,5
24,disc golf,0.8000,4,5
25,fencing,0.8000,4,5
28,figure skating pairs,0.8000,4,5
30,fly fishing,0.8000,4,5
31,football,0.8000,4,5
35,giant slalom,0.8000,4,5
36,golf,0.8000,4,5
38,hang gliding,0.8000,4,5
42,horse jumping,0.8000,4,5
43,horse racing,0.8000,4,5
49,jai alai,0.8000,4,5
52,judo,0.8000,4,5
61,pole climbing,0.8000,4,5
62,pole dancing,0.8000,4,5
63,pole vault,0.8000,4,5
69,rollerblade racing,0.8000,4,5
70,rowing,0.8000,4,5
76,ski jumping,0.8000,4,5
77,sky surfing,0.8000,4,5
85,swimming,0.8000,4,5
86,table tennis,0.8000,4,5
87,tennis,0.8000,4,5
89,trapeze,0.8000,4,5
90,tug of war,0.8000,4,5
93,volleyball,0.8000,4,5
94,water cycling,0.8000,4,5
99,wingsuit flying,0.8000,4,5
7,baseball,0.6000,3,5
9,baton twirling,0.6000,3,5
12,bmx,0.6000,3,5
17,bungee jumping,0.6000,3,5
19,cheerleading,0.6000,3,5
33,frisbee,0.6000,3,5
46,hydroplane racing,0.6000,3,5
73,shot put,0.6000,3,5
75,sidecar racing,0.6000,3,5
79,snow boarding,0.6000,3,5
82,steer wrestling,0.6000,3,5
83,sumo wrestling,0.6000,3,5
14,bowling,0.4000,2,5
44,horseshoe pitching,0.4000,2,5
91,ultimate,0.4000,2,5
98,wheelchair racing,0.4000,2,5
