class_id,class_name,accuracy,correct,total
91,toucan,0.9558,108,113
72,prairie_chicken,0.9468,89,94
31,european_fire_salamander,0.9435,117,124
39,gyromitra,0.9348,86,92
9,bell_cote,0.9255,87,94
80,scoreboard,0.9252,99,107
75,red_breasted_merganser,0.9213,82,89
68,pomegranate,0.9195,160,174
55,maypole,0.9091,110,121
69,pomeranian,0.9048,133,147
25,cucumber,0.9032,140,155
33,french_horn,0.8936,84,94
20,christmas_stocking,0.8889,104,117
19,brain_coral,0.8862,109,123
36,golfcart,0.8839,99,112
32,four_poster,0.8795,73,83
93,vizsla,0.8786,152,173
30,entertainment_center,0.8784,65,74
58,minivan,0.8725,89,102
1,acorn_squash,0.8720,143,164
11,bighorn,0.8705,121,139
38,green_lizard,0.8678,105,121
50,leonberg,0.8673,98,113
0,academic_gown,0.8632,101,117
49,lens_cap,0.8626,113,131
78,saint_bernard,0.8615,168,195
84,sea_urchin,0.8584,97,113
88,ski_mask,0.8491,90,106
61,ostrich,0.8475,100,118
64,parking_meter,0.8450,109,129
22,coral_reef,0.8444,114,135
10,bernese_mountain_dog,0.8438,81,96
98,wig,0.8438,81,96
2,airedale,0.8416,85,101
96,welsh_springer_spaniel,0.8400,105,125
7,beaver,0.8384,83,99
57,miniature_poodle,0.8365,87,104
16,bolete,0.8348,96,115
37,goose,0.8333,165,198
12,bikini,0.8306,103,124
23,crane_bird,0.8295,107,129
74,quail,0.8198,91,111
42,hoopskirt,0.8182,72,88
26,cuirass,0.8148,66,81
3,bagel,0.8137,131,161
47,kit_fox,0.8113,86,106
17,boston_bull,0.8101,64,79
86,siamang,0.8081,80,99
83,sea_slug,0.8080,101,125
92,triceratops,0.8039,82,102
35,golden_retriever,0.8030,163,203
71,potter_s_wheel,0.8000,76,95
14,blenheim_spaniel,0.7958,113,142
70,potpie,0.7874,100,127
81,screen,0.7805,96,123
76,red_wolf,0.7791,67,86
27,cup,0.7705,94,122
24,croquet_ball,0.7692,40,52
85,shopping_basket,0.7647,65,85
82,sea_cucumber,0.7623,93,122
94,vulture,0.7586,88,116
99,wolf_spider,0.7453,79,106
56,miniature_pinscher,0.7412,63,85
52,lhasa,0.7403,57,77
73,pug,0.7363,67,91
8,bedlington_terrier,0.7353,50,68
67,pole,0.7313,98,134
15,boa_constrictor,0.7297,81,111
18,bow_tie,0.7253,66,91
53,lotion,0.7156,78,109
6,basset,0.7143,70,98
65,plane,0.7083,51,72
21,collie,0.7045,62,88
44,hourglass,0.7030,71,101
5,barn_spider,0.6977,60,86
97,whiskey_jug,0.6780,40,59
45,indian_cobra,0.6774,63,93
28,desktop_computer,0.6739,62,92
89,slug,0.6720,84,125
51,letter_opener,0.6667,50,75
60,oil_filter,0.6667,54,81
46,isopod,0.6627,55,83
34,frying_pan,0.6500,78,120
59,mousetrap,0.6489,61,94
4,bannister,0.6466,86,133
77,rifle,0.5918,58,98
62,paintbrush,0.5896,79,134
48,labrador_retriever,0.5888,63,107
63,paper_towel,0.5843,52,89
43,horned_viper,0.5802,47,81
90,tank_suit,0.5758,57,99
40,hand_blower,0.5648,61,108
13,binder,0.5600,42,75
29,dumbbell,0.5420,71,131
41,hook,0.5333,64,120
66,plate_rack,0.5303,35,66
87,sidewinder,0.5156,33,64
95,water_bottle,0.5096,53,104
79,scale,0.3600,36,100
54,maillot,0.2826,26,92
