class_id,class_name,accuracy,correct,total
63,porcupine,0.0200,2,100
10,bowl,0.0100,1,100
19,cattle,0.0100,1,100
26,crab,0.0100,1,100
44,lizard,0.0100,1,100
56,palm_tree,0.0100,1,100
70,rose,0.0100,1,100
97,wolf,0.0100,1,100
0,apple,0.0000,0,100
1,aquarium_fish,0.0000,0,100
2,baby,0.0000,0,100
3,bear,0.0000,0,100
4,beaver,0.0000,0,100
5,bed,0.0000,0,100
6,bee,0.0000,0,100
7,beetle,0.0000,0,100
8,bicycle,0.0000,0,100
9,bottle,0.0000,0,100
11,boy,0.0000,0,100
12,bridge,0.0000,0,100
13,bus,0.0000,0,100
14,butterfly,0.0000,0,100
15,camel,0.0000,0,100
16,can,0.0000,0,100
17,castle,0.0000,0,100
18,caterpillar,0.0000,0,100
20,chair,0.0000,0,100
21,chimpanzee,0.0000,0,100
22,clock,0.0000,0,100
23,cloud,0.0000,0,100
24,cockroach,0.0000,0,100
25,couch,0.0000,0,100
27,crocodile,0.0000,0,100
28,cup,0.0000,0,100
29,dinosaur,0.0000,0,100
30,dolphin,0.0000,0,100
31,elephant,0.0000,0,100
32,flatfish,0.0000,0,100
33,forest,0.0000,0,100
34,fox,0.0000,0,100
35,girl,0.0000,0,100
36,hamster,0.0000,0,100
37,house,0.0000,0,100
38,kangaroo,0.0000,0,100
39,keyboard,0.0000,0,100
40,lamp,0.0000,0,100
41,lawn_mower,0.0000,0,100
42,leopard,0.0000,0,100
43,lion,0.0000,0,100
45,lobster,0.0000,0,100
46,man,0.0000,0,100
47,maple_tree,0.0000,0,100
48,motorcycle,0.0000,0,100
49,mountain,0.0000,0,100
50,mouse,0.0000,0,100
51,mushroom,0.0000,0,100
52,oak_tree,0.0000,0,100
53,orange,0.0000,0,100
54,orchid,0.0000,0,100
55,otter,0.0000,0,100
57,pear,0.0000,0,100
58,pickup_truck,0.0000,0,100
59,pine_tree,0.0000,0,100
60,plain,0.0000,0,100
61,plate,0.0000,0,100
62,poppy,0.0000,0,100
64,possum,0.0000,0,100
65,rabbit,0.0000,0,100
66,raccoon,0.0000,0,100
67,ray,0.0000,0,100
68,road,0.0000,0,100
69,rocket,0.0000,0,100
71,sea,0.0000,0,100
72,seal,0.0000,0,100
73,shark,0.0000,0,100
74,shrew,0.0000,0,100
75,skunk,0.0000,0,100
76,skyscraper,0.0000,0,100
77,snail,0.0000,0,100
78,snake,0.0000,0,100
79,spider,0.0000,0,100
80,squirrel,0.0000,0,100
81,streetcar,0.0000,0,100
82,sunflower,0.0000,0,100
83,sweet_pepper,0.0000,0,100
84,table,0.0000,0,100
85,tank,0.0000,0,100
86,telephone,0.0000,0,100
87,television,0.0000,0,100
88,tiger,0.0000,0,100
89,tractor,0.0000,0,100
90,train,0.0000,0,100
91,trout,0.0000,0,100
92,tulip,0.0000,0,100
93,turtle,0.0000,0,100
94,wardrobe,0.0000,0,100
95,whale,0.0000,0,100
96,willow_tree,0.0000,0,100
98,woman,0.0000,0,100
99,worm,0.0000,0,100
